# 我的台股清單 2026
symbol,name,market,group
2330,台積電,TW,半導體
2454,聯發科,TW,半導體
2344,華邦電,TW,記憶體
3231,緯創,TW,AI伺服器
2382,廣達,TW,AI伺服器
2308,台達電,TW,電源
1519,華城,TW,重電
6533,晶心科,TW,IP
3661,世芯-KY,TW,IP
0050,元大台灣50,TW,ETF
00878,國泰永續高股息,TW,ETF
